;_index;_type;_id;_score;_source.date;_source.country;_source.orientation;_source.metadata;_source.keywords;_source.city;_source.rating;_source.county;_source.media;_source.lens;_source.dirname;_source.filename;_source.museum;_source.imported;_source.width;_source.location;_source.state;_source.place;_source.height;_source.md5;_source.placeInterpolated;_source.modified;_source.deleted;_source.found_file_on_disk;long;lat
0;images2;test;FgPEqWwBP8SISckhRryG;2.6241126;2019-07-25T11:27:24;Deutschland;Horizontal (normal);True;[];Weeze ;2;Kreis Kleve ;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_9477.JPG;;2019-08-19;4032;[6.148558333333334, 51.600144444444446];Nordrhein-Westfalen ;True;3024;61081a034d85cef43fd08c2dbaff2e5f;;;;;51.6;6.15
1;images2;test;0QPEqWwBP8SISckhNLs2;2.6241126;2019-07-25T11:27:35;Deutschland;Horizontal (normal);True;[];Weeze ;2;Kreis Kleve ;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_9478.JPG;;2019-08-19;4032;[6.148561111111111, 51.60011388888889];Nordrhein-Westfalen ;True;3024;d6d482c7d93e6a07dab70076efd08ffd;;;;;51.6;6.15
2;images2;test;vwPEqWwBP8SISckhLbvb;2.6241126;2019-07-25T11:27:36;Deutschland;Horizontal (normal);True;['Nice'];Weeze ;3;Kreis Kleve ;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_9479.JPG;;2019-08-19;4032;[6.148561111111111, 51.60011388888889];Nordrhein-Westfalen ;True;3024;c6957540faf082d259583e85eada1330;;;;;51.6;6.15
3;images2;test;vgPEqWwBP8SISckhLbuh;2.6241126;2019-07-25T12:24:14;Deutschland;Horizontal (normal);True;[];Bieberehren ;2;Landkreis Würzburg ;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_9492.JPG;;2019-08-19;4032;[10.032641666666667, 49.519675];Bayern ;True;3024;2f07caaf7b77c9c3e391f7db9453acd7;;;;;49.52;10.03
4;images2;test;1APEqWwBP8SISckhNLub;2.6241126;2019-07-25T12:24:22;Deutschland;Rotated 180;True;[];Bieberehren ;2;Landkreis Würzburg ;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_9493.JPG;;2019-08-19;4032;[10.032641666666667, 49.519675];Bayern ;True;3024;09157b1a7b79f1a7a91d2f70052caa94;;;;;49.52;10.03
5;images2;test;cQPEqWwBP8SISckhDLuQ;2.6241126;2019-07-25T12:24:25;Deutschland;Rotated 180;True;[];Bieberehren ;2;Landkreis Würzburg ;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_9494.JPG;;2019-08-19;4032;[10.032641666666667, 49.519675];Bayern ;True;3024;66e46a1e6f37cb401e016c2dc80f22ee;;;;;49.52;10.03
6;images2;test;iAPEqWwBP8SISckhW7zm;2.6241126;2019-07-25T12:27:14;Deutschland;Rotated 90 CW;True;[];Bechhofen ;2;Landkreis Ansbach ;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_9499.JPG;;2019-08-19;4032;[10.533911111111111, 49.157741666666666];Bayern ;True;3024;b4c23f6d8a05e314314322b8800a458f;;;;;49.16;10.53
7;images2;test;hQPEqWwBP8SISckhWrzJ;2.6241126;2019-07-25T10:15:20;Deutschland;Horizontal (normal);True;[];Weeze ;2;Kreis Kleve ;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_9472.JPG;;2019-08-19;4032;[6.150705555555556, 51.59934722222223];Nordrhein-Westfalen ;True;3024;dc27be43c299161cb23665e32f14e556;;;;;51.6;6.15
8;images2;test;egPEqWwBP8SISckhWLza;2.6241126;2019-07-25T10:45:50;Deutschland;Rotated 180;True;[];Weeze ;2;Kreis Kleve ;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_9473.JPG;;2019-08-19;4032;[6.1502083333333335, 51.59960277777778];Nordrhein-Westfalen ;True;3024;75403f8e4e7fd72ef1d89d735693b208;;;;;51.6;6.15
9;images2;test;LQPEqWwBP8SISckhSrwn;2.6241126;2019-07-25T11:26:21;Deutschland;Rotated 180;True;[];Weeze ;2;Kreis Kleve ;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2019 - Kroatien/;/Users/andregarstka/Pictures/Local/2019 - Kroatien/IMG_9475.JPG;;2019-08-19;4032;[6.149222222222223, 51.599975];Nordrhein-Westfalen ;True;3024;b1d315eadef45ba2580095a84f129241;;;;;51.6;6.15
