;_index;_type;_id;_score;_source.date;_source.country;_source.orientation;_source.metadata;_source.keywords;_source.city;_source.rating;_source.county;_source.media;_source.lens;_source.dirname;_source.filename;_source.museum;_source.imported;_source.width;_source.placeInterpolated;_source.location;_source.state;_source.place;_source.height;_source.md5;_source.modified;long;lat
0;images2;test;5yqKtGwB1ENIxZisVfxd;4.0301113;2018-06-17T17:56:59;Portugal;Rotated 180;True;[];Serra de Água ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3196.JPG;prev_museum;2019-08-21;4032;True;[-16.98528611111111, 32.728436111111115];Madeira ;True;3024;b37043d7e9713e53878abac357e77215;;32.73;-16.99
1;images2;test;6CqKtGwB1ENIxZisVfyX;4.0301113;2018-06-18T21:06:14;Portugal;Rotated 180;True;[];Porto da Cruz ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3237.JPG;prev_museum;2019-08-21;4032;True;[-16.827952777777778, 32.772505555555554];Madeira ;True;3024;2f3ce61a84d76ea8da1f81501b73e19f;;32.77;-16.83
2;images2;test;6SqKtGwB1ENIxZisVfy3;4.0301113;2018-06-18T20:08:48;Portugal;Rotated 180;True;[];Casa das Queimadas Santana ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3235.JPG;prev_museum;2019-08-21;4032;True;[-16.906558333333333, 32.783905555555556];Madeira ;True;3024;3ec297508eee3f9320ab1f603df50776;;32.78;-16.91
3;images2;test;6iqKtGwB1ENIxZisVfzW;4.0301113;2018-06-17T17:22:37;Portugal;Rotated 180;True;[];Serra de Água ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3194.JPG;prev_museum;2019-08-21;4032;True;[-16.984372222222223, 32.732597222222225];Madeira ;True;3024;9187c69dc7e1fbf75f6b407c59777904;;32.73;-16.98
4;images2;test;6yqKtGwB1ENIxZisVvwG;4.0301113;2018-06-16T18:19:12;Portugal;Horizontal (normal);True;[];Câmara de Lobos ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 front camera 2.87mm f/2.2;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3143.JPG;prev_museum;2019-08-21;3088;True;[-17.00443611111111, 32.65638611111111];Madeira ;True;2320;3d4eeaa24db3ca8530985b69d6a4baf3;;32.66;-17.0
5;images2;test;7CqKtGwB1ENIxZisVvwu;4.0301113;2018-06-16T18:18:16;Portugal;Rotated 180;True;[];Câmara de Lobos ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3142.JPG;prev_museum;2019-08-21;4032;True;[-17.004441666666665, 32.656416666666665];Madeira ;True;3024;138efc3839af034a9f5b61229ac50317;;32.66;-17.0
6;images2;test;7SqKtGwB1ENIxZisVvxS;4.0301113;2018-06-17T17:56:14;Portugal;Rotated 180;True;[];Serra de Água ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3195.JPG;prev_museum;2019-08-21;4032;True;[-16.985297222222222, 32.728608333333334];Madeira ;True;3024;b77f7d3d57c1223bbc697001a9c8516a;;32.73;-16.99
7;images2;test;7iqKtGwB1ENIxZisVvyK;4.0301113;2018-06-18T11:02:53;Portugal;Rotated 180;True;[];Câmara de Lobos ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3208.JPG;prev_museum;2019-08-21;4032;True;[-17.004283333333333, 32.65741666666666];Madeira ;True;3024;bc6de3bfd11b9ccc4ca5354c91dd569a;;32.66;-17.0
8;images2;test;7yqKtGwB1ENIxZisVvyw;4.0301113;2018-06-18T17:15:09;Portugal;Rotated 180;True;[];Ilha ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3220.JPG;prev_museum;2019-08-21;4032;True;[-16.922994444444445, 32.78491666666667];Madeira ;True;3024;66dd5796ce06a546dba7a530acd914df;;32.78;-16.92
9;images2;test;8CqKtGwB1ENIxZisV_xF;4.0301113;2018-06-19T13:22:25;Portugal;Horizontal (normal);True;[];Porto da Cruz ;2;GPS_UNRESOLVED;image;iPhone 7 iPhone 7 back camera 3.99mm f/1.8;/Users/andregarstka/Pictures/Local/2018 - Madeira/;/Users/andregarstka/Pictures/Local/2018 - Madeira/IMG_3239.JPG;prev_museum;2019-08-21;4032;True;[-16.82749722222222, 32.77328055555555];Madeira ;True;3024;49f6d9c91c3cbd11a194d54d1a797117;;32.77;-16.83
